ID,SKU,Name,Stock,Weight (lbs),Regular price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Brand,Attribute 2 visible,Attribute 2 global,Attribute 3 name,Product Type,Attribute 3 visible,Attribute 3 global,Attribute 4 name,Model,Attribute 4 visible,Attribute 4 global
46787,005-005-0712,Allen-Bradley 1794OE4 Flex I/O Analog Output Module,1,2,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1013-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1014-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1015-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1016-scaled.jpg",Location,2019C3_B3,1,1,Brand,Allen-Bradley,1,1,Product Type,Flex I/O Analog Output Module,1,1,Model,1794OE4,1,1
46877,039-003-1706,SMC CDA2F40-620-J59WL Cylinder,2,2,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1161-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1162-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1163-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-1164-scaled.jpg",Location,2019C5,1,1,Brand,SMC,1,1,Product Type,Cylinder,1,1,Model,CDA2F40-620-J59WL,1,1
46792,019-001-0161,Mitsubishi HA-SA22 3 Phase Motor 200V 2000RPM,2,7,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-813-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-814-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-815-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-816-scaled.jpg",Location,2019C1_LC4,1,1,Brand,Mitsubishi,1,1,Product Type,Motor,1,1,Model,HA-SA22,1,1
46726,019-004-0229,Yaskawa SGMPH-01A1A21 AC Servo Motor,2,6,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-545-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-546-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-547-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-548-scaled.jpg",Location,2019C1_LC3,1,1,Brand,Yaskawa,1,1,Product Type,Ac Servo Motor,1,1,Model,SGMPH-01A1A21,1,1
46766,022-011-0268,Yamatake-Honeywell FL2-4A6H-L5 Proximity Switch,2,2,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-697-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-698-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-699-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-700-scaled.jpg",Location,2019C1_LC2,1,1,Brand,YAMATAKE-HONEYWELL,1,1,Product Type,Proximity Switch,1,1,Model,FL2-4A6H-L5,1,1
8136,022-057-0013,Omron K3NX-VD1A-C1,1,2,,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8516.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8517.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8518.jpg",Location,2019C4_LC1,1,1,Brand,Omron,1,1,Product Type,-,1,1,Model,K3NX-VD1A-C1,1,1
46607,005-005-0458,Sigmatek DNC 031 Output Analog Module,2,4,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-77-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-78-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-79-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-80-scaled.jpg",Location,2019C2_B2,1,1,Brand,SIGMATEK,1,1,Product Type,Output Analog Module,1,1,Model,DNC 031,1,1
46779,004-001-0182,SMC GD40-2-01 Differential Pressure Gauge,2,5,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-753-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-754-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-755-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-756-scaled.jpg",Location,2019C1_LC2,1,1,Brand,SMC,1,1,Product Type,Differential Pressure Gauge,1,1,Model,GD40-2-01,1,1
46786,011-001-0006,Agilent Technologies F0472-301 Vacuum Gauge,1,1,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-781-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-782-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-783-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-784-scaled.jpg",Location,2019C1_LC4,1,1,Brand,AGILENT TECHNOLOGIES,1,1,Product Type,Vacuum Gauge,1,1,Model,F0472-301,1,1
46801,022-007-0069,Fuji Electric TR-O/UL 5-8A Thermal Overload Relay,2,0,,"https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-845-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-846-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-847-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2024/09/C2019-24-848-scaled.jpg",Location,2019C1_LC5,1,1,Brand,Fuji Electric,1,1,Product Type,Thermal Overload Relay,1,1,Model,5-8A,1,1
