ID,SKU,Name,Stock,Weight (lbs),Regular price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Brand,Attribute 2 visible,Attribute 2 global,Attribute 3 name,Product Type,Attribute 3 visible,Attribute 3 global,Attribute 4 name,Model,Attribute 4 visible,Attribute 4 global
8104,027-002-0225,Denso Pump Head 1107760004,1,3,65,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8403.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8404.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_8405.jpg",Location,2013c8_LC1,1,1,Brand,Denso,1,1,Product Type,Pump Head,1,1,Model,1107760004,1,
9823,231-001-0670,Chino Temperature  Control KP1130BP36,2,4,500,"https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9950.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9951.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9952.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/10/IMG_9953.jpg",Location,"2012c7_LC1, 2012c8_LC3",1,1,Brand,Keyence,1,1,Product Type,Controllers,1,1,Model,KP1130BP36,1,
12429,MFG-000-0945,Acopian 6J500,1,6,428,"https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0745-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0746-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0747-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0748-scaled.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMGcaca_0749-scaled.jpg",Location,CACA_LC4,1,1,Brand,TACO,1,1,Product Type,Power Supplies,1,1,Model,6J500,1,
12977,MFG-000-1101,Hytegra Valve IK0,1,2,199,"https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1612.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1613.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/IMG04c131415_1614.jpg",Location,2004c113_114_115,1,1,Brand,ASCO,1,1,Product Type,Valves,1,1,Model,Hytegra Valve IK0,1,
13788,078-586-0018,Bracket H-586-40-04,2,5,20,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2897.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2898.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2899.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2900.jpg",Location,2015c5_LC1,1,0,Brand,-,1,0,Product Type,Brackets,1,0,Model,H-586-40-04,1,
13838,005-026-0015,Toshiba Camera CS8310B,0,3,299,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2881.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2882.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2883.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c1_2884.jpg",Location,2015c5_LC1,1,1,Brand,ASCO,1,1,Product Type,Camera Adapter,1,1,Model,CS8310B,1,
14246,418-710-0040,Feed Gear 36-76,1,9,35,"https://mfgpartsplus.com/wp-content/uploads/2018/12/12c20_2358.jpg, https://mfgpartsplus.com/wp-content/uploads/2018/12/12c20_2359.jpg",Location,2012c20,1,1,Brand,Keyence,1,1,Product Type,Gears,1,1,Model,36-76,1,
16018,MFG-000-1446,"RKC Instrument	C400FJA1-M*AP",1,2,100,"https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1211.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1212.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1213.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/01/BBBB_1214.jpg",Location,BBBB_LC9,1,1,Brand,ASCO,1,1,Product Type,-,1,1,Model,C400FJA1-M*AP,1,
16907,022-012-0306,Banner LX12RSRQ,1,4,363,"https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1655.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1656.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1657.jpeg, https://mfgpartsplus.com/wp-content/uploads/2019/04/2015c5_1658.jpeg",Location,2015c5,1,1,Brand,Banner,1,1,Product Type,-,1,1,Model,LX12RSRQ,1,
18202,002-014-0021,Toyo-oki HD32WDBCA03ALYD2,1,10,297,"https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2355-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2356-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2357-rotated.jpg, https://mfgpartsplus.com/wp-content/uploads/2019/07/2015c1_2358-rotated.jpg",Location,2015c1_LC1,1,1,Brand,Toyo-oki,1,1,Product Type,-,1,1,Model,HD32WDBCA03ALYD2,1,
